BAND,,רדת םוחת,,
RATIO,,סחי,,
MODULE,,לודומ,,
PROTOCOL_DECIMALS_AND_UNIT,,הדיחי / לוקוטורפ קויד,,
CROSS_TRIM,,םיבלצומ םיזוזיק,,
MOVE_TRIM_TO_SUBTRIM,,םירט באסל זוזיק עבק,,
INSTANT_TRIM,,ידיימ זוזיק,,
MOVE_TRIMS_TO_SUBTRIMS,,םימירט באסל םיזוזיק עבק,,
INDEPENDENT_PER_FLIGHT_MODE,,הסיט בצמ רפ זוזיק,,
STICK,,קיטס,,
CONFIGURE_SCREENS,,םיכסמ רדגה,,
TOP_SCREEN,,ןוילע ךסמ,,
CHANGE_LAYOUT,,הסירפ הנש,,
FULL_SCREEN,,אלמ ךסמ,,
WIDGET,,ט'גדיו,,
SET_MAIN_SCREEN,,ישאר ךסמכ רדגה,,
CONFIGURE_WIDGET,,ט'גדיו רדגה,,
NEW_SCREEN,,שדח ךסמ,,
SCREEN,, ךסמ,,
CHANGE_WIDGET,,ףלחה,ט'גדיו ףלחה...,
MOVE_FORWARD,,? המידק זזה,,
MOVE_BACKWARD,,? הרוחא זזה,,
RESET_FLIGHT,,הסיט סופיא,,
RESET_TIMERS,,םירמייט סופיא,,
RESET_TELEMETRY,,הירטמלט סופיא,,
HOME,,תיב,,
ADD_AFTER,,ירחא ףסוה...,,
ADD_MIX_FAILED,,! הלשכנ רסקימ תפסוה,,
MAX_MIXES_REACHED,,! ילמיסקמה םירסקימ רפסמל תעגה,,
FIRST_POSITION,,ןושאר םוקימ,,
MIXES_LIBRARY,,םירסקימה תיירפס,,
LOCAL_ADDRESS,,תימוקמ תבותכ,,
WAITING_FOR_DEVICES,,םירישכמל ןיתממ...,,
LOCAL_NAME,,ימוקמ םש,,
SEARCH_DEVICES,,םירישכמ שפח,,
BLUETOOTH_DEVICE_CONNECTED,,רבוחמ 'תוטולב רישכמ,,
NOT_CONNECTED,,רבוחמ אל,,
CONFIRM_ALLOW_CONNECTION,,רוביח רשפא?,,
BLUETOOTH_FIRMWARE_NEEDS_UPDATE,,תוטולב תחשוק ןכדעל שרדנ',,
BLUETOOTH_MAINTENANCE,,תוטולב תקוזחת',,
DEVICE,,רישכמ,,
NO_BLUETOOTH_DEVICE_FOUND,,! 'תוטולב רישכמ אצמנ אל,,
SPEAKER_MUTE,,קתשומ לוקמר,,
DISCONNECT,,קתנ,,
WAITING_FOR_DEVICE,,רוביחל ןיתממ,,
DIST_ADDRESS,,תרזובמ תבותכ,,
CONNECTING,,רבחתמ,,
ROTARY_ENCODER_HALF_STEPS,,תלגלגב םידעצ יצח,,
BLUETOOTH_AUDIO,,תוטולב לוק',,
NOT_INSTALLED,,לדחמ תרירב( ןקתומ אל),,
INSTALLED_AS_AN_OPTION,,תורשפאכ ןקתומ,,
HIGH_SPEED,,ההובג תוריהמ,,
NORMAL_SPEED,,הליגר תוריהמ,,
MODEL,,לדומ,,
STEERING,,גוהינ,,
DUTY_RATIO,,הסמעה סחי,,
CYCLE_DURATION,,רוזחמ ךשמ,,
RETURN_POSITION,,םוקימ רזחה,,
STEERING_BRAKE,,גוהינ םלב,,
CHECKLIST,,טסיל ק'צ,,
FILE_MANAGER,,םיצבק להנמ,,
SOUND,,טטרו לילצ,,
STICKS,,םיקיטס,,
DATE_TIME,,העשו ךיראת,,
HARDWARE,,הרמוח,,
INFO,,עדימ,,
SERIAL_NUMBER,,ירודיס רפסמ,,
RESET_FACTORY_SETTINGS,,ןרצי תורדגהל ספא,,
CONFIRM_RESET_FACTORY_SETTINGS,,ןרצי תורדגהל ספא?,,
SYSTEM,,תכרעמ,,
DISPLAY,,הגוצת,,
