POINT,,"Bod"
POINTS_COUNT,,"Počet bodov"
EASY_MODE,,"Jednoduchý režim"
LOGIC_SWITCHES,,"Logické spínače"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_LOGIC_SWITCH,,"Skutočne chcete odstrániť tento logický spínač?"
NO_LOGIC_SWITCH_HINT,,"Žiadny logický spínač. Prosím zvolte tlačidlo pridať pre vytvorenie!"
START_CONDITION,,"Podmienka štartu"
STOP_CONDITION,,"Podmienka zastavenia"
TIMER_EDIT,,"Úprava časovača"
PERSISTENT,,"Trvalý"
START_VALUE,,"Štartovacia hodnota"
AUDIO_ACTIONS,,"Zvukové akcie"
AUDIO_ACTION,,"Zvuková akcia"
ADD_A_NEW_AUDIO_ACTION,,"Pridať novú zvukovú akciu"
ALARM_VALUE,,"Alarmová hodnota"
HAPTIC,,"Vibrovanie"
COUNT_SECONDS,,"Odpočítavanie"
START,,"Štart"
PLAY_FILE,,"Prehrať súbor"
SPACE_WITH_OTHERS,,"Iné"
CONFIRM_DELETE_CURVE,,"Potvrďte odstránenie krivky"
CURVE_USED_BY,,"Táto krivka je použitá v týchto mixoch:"
AND_WITH_TWO_SPACES,," a "
CURVES,,"Krivky"
NO_CURVE_HINT,,"Žiadna krivka. Ak chcete vytvoriť stlačte tlačidlo Pridať!"
VARS,,"Premenné"
NO_VAR_HINT,,"Zatiaľ bez premenných. Ak chcete vytvoriť stlačte tlačidlo Pridať!"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_VAR,,"Skutočne chcete odstrániť túto premennú?"
CONFIRM_RESET_MIXES,,"Potvrďte odstránenie mixov."
ELEVATORS,,"Výškovky"
YAW,,"Otáčanie"
SWASH_PLATE,,"Cyklika"
EDIT_MODEL,,"Upraviť model"
PICTURE,,"Obrázok"
TAIL,,"Chvost"
AILERONS,,"Krídelká"
PITCH,,"Klopenie"
THROTTLE,,"Plyn"
FLAPS,,"Klapky"
ENGINE,,"Motor"
BRAKE,,"Brake"
RUDDERS,,"Smerovky"
ROLL,,"Náklon"
FUNCTION_SWITCHES,,"Funkčné přepínače"
RESET_ALL_MIXES,,"Reset všetkých mixov"
CREATE_CALCULATED_SENSOR,,"Vytvoriť vypočítaný senzor"
CONFIRM_DELETE_SENSORS,,"Potvrďte vymazanie senzorov"
ON,,"Zap"
OFF,,"Vyp"
DISCOVER_NEW_SENSORS,,"Vyhľadávanie nových senzorov"
DELETE_ALL,,"Odstrániť všetko"
INDIVIDUAL_RSSI_ALERT_PER_BAND,,"Individual RSSI alert per band"
CREATE_DIY_SENSOR,,"Vytvoriť DIY senzor"
CONFIRM_LOAD_ALL_SWITCH_POSITIONS,,"Potvrďte náčítanie pozícií všetkých prepínačov"
CHECK_FUNCTION,,"Kontrola funkcie"
LOAD_ALL_SWITCH_POSITIONS,,"Načítať pozície všetkých prepínačov"
CONFIRM_LOAD_ALL_POT_POSITIONS,,"Potvrďte náčítanie pozícií všetkých potenciometrov"
LOAD_ALL_POT_POSITIONS,,"Načítanie pozícií všetkých potenciometrov"
CALIBRATION_FINISH,,"Kalibrácia ukončená!"
SXR_CALIBRATION,,"Kalibrácia SxR"
CLICK_WHEN_DONE,,"Hotovo"
CALIBRATING,,"Kalibrujem..."
SXR_CALIBRATION_DESCRIPTION,,"Popis kalibrácie SxR"
SLAVE_CH,,"Podriadený CH"
PERCENT,,"Percent"
DESTINATION,,"Cieľ"
ENABLE,,"Zap"
NO_FUNCTION_HINT,,"Žiadna funkcia. Ak chcete vytvoriť stlačte tlačidlo Pridať!"
SPECIAL_FUNCTIONS,,"Špeciálne funkcie"
NEW_FUNCTION,,"Nové funkcie"
SF,,"SF"
DISABLE,,"Vyp"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_SPECIAL_FUNCTION,,"Skutočne chcete odstrániť túto špeciálnu funkciu?"
REGISTRATION_OK,,"Registrácia OK"
UID,,"UID"
REGISTRATION_ID,,"Registračné ID"
RX_NAME,,"Názov RX"
RECEIVER_CONNECTED,,"Prijímač pripojený"
REGISTRATION,,"Registrácia"
TRIMS,,"Trimy"
FADE_IN,,"Nábeh"
FADE_OUT,,"Výbeh"
AUTO_DETECT,,"Autodetekcia"
DISPLAY_DECIMALS_AND_UNIT,,"Presnosť zobrazenia / jednotka"
SELECT_SENSOR,,"Vyberte senzor"
DIY_SENSOR,,"DIY senzor"
WAITING,,"Čakám"
BAND,,"Pásmo"
RATIO,,"Pomer"
MODULE,,"Modul"
PROTOCOL_DECIMALS_AND_UNIT,,"Presnosť protokolu / jednotka"
CROSS_TRIM,,"Priradenie trimrov"
MOVE_TRIM_TO_SUBTRIM,,"Presunúť trim do subtrimu"
INSTANT_TRIM,,"Okamžitý trim"
MOVE_TRIMS_TO_SUBTRIMS,,"Presunúť trimy do subtrimov"
INDEPENDENT_PER_FLIGHT_MODE,,"Individuálny trim podľa let. režimu"
STICK,,"Páka"
CONFIGURE_SCREENS,,"Nastav. obrazoviek"
TOP_SCREEN,,"Horná obrazovka"
CHANGE_LAYOUT,,"Zmeniť rozmiestnenie"
FULL_SCREEN,,"Celá obrazovka"
WIDGET,,"Widget"
SET_MAIN_SCREEN,,"Nastav. hl. obrazovku"
CONFIGURE_WIDGET,,"Konfigurovať widget"
NEW_SCREEN,,"Nová obrazovka"
SCREEN,,"Obrazovka"
CHANGE_WIDGET,,"Zmeniť Widget"
MOVE_FORWARD,,"Posunúť dopredu"
MOVE_BACKWARD,,"Posunúť dozadu"
RESET_FLIGHT,,"Resetovať let"
RESET_TIMERS,,"Resetovať stopky"
RESET_TELEMETRY,,"Resetovať telemetriu"
HOME,,"Domov"
ADD_AFTER,,"Pridať za..."
ADD_MIX_FAILED,,"Pridanie mixu zlyhalo"
MAX_MIXES_REACHED,,"Bol dosiahnutý maximálny počet mixov"
FIRST_POSITION,,"Prvá pozícia"
MIXES_LIBRARY,,"Knižnica mixov"
LOCAL_ADDRESS,,"Miestna adresa"
WAITING_FOR_DEVICES,,"Čakám na zariadenia..."
LOCAL_NAME,,"Miestny názov"
SEARCH_DEVICES,,"Hladať zariadenie"
BLUETOOTH_DEVICE_CONNECTED,,"Zariadenie bluetooth pripojené"
NOT_CONNECTED,,"Not connected"
CONFIRM_ALLOW_CONNECTION,,"Povoliť pripojenie?"
BLUETOOTH_FIRMWARE_NEEDS_UPDATE,,"Pre Bluetooth firmwér je potrebná aktualizácia!"
BLUETOOTH_MAINTENANCE,,"Bluetooth údržba"
DEVICE,,"Jednotka"
NO_BLUETOOTH_DEVICE_FOUND,,"Zariadenie bluetooth nebolo nájdené"
SPEAKER_MUTE,,"Ztlmenie reproduktoru"
DISCONNECT,,"Odpojené"
WAITING_FOR_DEVICE,,"Čakám na spojenie"
DIST_ADDRESS,,"Vzdialená adresa"
CONNECTING,,"Pripojené"
ROTARY_ENCODER_HALF_STEPS,,"Rotačný enkóder polovičné kroky"
BLUETOOTH_AUDIO,,"Bluetooth Audio"
NOT_INSTALLED,,"Nenainštalované (default)"
INSTALLED_AS_AN_OPTION,,"Inštalácia ako voľba"
HIGH_SPEED,,"Vysoká rýchlosť"
NORMAL_SPEED,,"Normálna rýchlosť"
MODEL,,"Model"
STEERING,,"Riadenie"
DUTY_RATIO,,"Duty ratio"
CYCLE_DURATION,,"Cycle duration"
RETURN_POSITION,,"Return position"
STEERING_BRAKE,,"Brzda riadenia"
CHECKLIST,,"Kontrolný zoznam"
FILE_MANAGER,,"Prieskumník"
SOUND,,"Zvuk"
STICKS,,"Páky"
DATE_TIME,,"Dátum a Čas"
HARDWARE,,"Hardwér"
INFO,,"Info"
SERIAL_NUMBER,,"Sériové číslo"
RESET_FACTORY_SETTINGS,,"Reset na továrenské nastavenie"
CONFIRM_RESET_FACTORY_SETTINGS,,"Potvrďte reset na továrenské nastavenie"
SYSTEM,,"Systém"
DISPLAY,,"Displej"
KEYBOARD,,"Klávesnica"
ENABLE_SLIDER,,"Povoliť ťahový ovládač"
DISABLE_SLIDER,,"Zakázať ťahový ovládač"
ALERTS,,"Varovania"
SPECTRUM_ANALYSER,,"Spektrálny analyzér"
BATTERY,,"Batéria"
CHECKLIST_WARNING,,"Výstraha kontrolného zoznamu"
RADIO_IS_IN_SILENT_MODE,,"Rádio je v tichom režime"
RADIO_BATTERY_IS_LOW,,"Batéria rádia je vybitá"
THROTTLE_IS_NOT_IDLE,,"Plyn nie je na voľnobehu"
ARE_NOT_IN_SAFE_POSITION,,"Nie sú v bezpečnej pozícii"
IS_NOT_IN_SAFE_POSITION,,"Nie je v bezpečnej pozícii"
FUNCTION_SWITCHES_ARE_NOT_IN_SAFE_POSITION,,"Funkčné prepínače nie sú v bezpečnej pozícii"
FAILSAFE_IS_NOT_SET,,"Failsafe nie je nastavený"
RTC_BATTERY_IS_LOW,,"Batéria RTC je vybitá"
ALWAYS_ON,,"Vždy zapnuté"
ALWAYS_OFF,,"Always OFF"
YES,,"Áno"
DIGITAL_RSSI,,"Digitálne RSSI"
GYRO,,"Gyro"
GYRO_SWITCHES,,"Gyro prepínače"
LANGUAGE,,"Jazyk"
SWITCHES,,"Prepínače"
TOP_TOOLBAR,,"Horný panel"
NO,,"Nie"
BRIGHTNESS,,"Jas"
KEYS,,"Klávesy"
WAKE_UP,,"Zobudiť"
DIGITAL_VOLTAGE,,"Digitálne napätie"
SLEEP,,"Spánok"
SYSTEM_ALERTS,,"Systémové varovania"
INACTIVITY,,"Nečinnosť"
AUTO_ADJUST_FROM_GPS,,"Automatické nastavenie z GPS"
DATE,,"Dátum"
ADJUST_RTC_SPEED,,"Nastavenie RTC rýchlosti"
SHOW_SECONDS,,"Zobraziť sekundy"
IS24HOUR,,"24 hodinový čas"
TIME_ZONE,,"Časová pásmo"
YEAR,,"Rok"
MONTH,,"Mesiac"
TIME,,"Čas"
NEXT,,"Ďalšie"
GYRO_CALIBRATION,,"Kalibrácia Gyra"
PREV,,"Späť"
MDL_LONG,,"MDL dlho"
HARDWARE_CHECK,,"Kontrola hardwéru"
SWITCHES_SETTINGS,,"Nastavenie prepínačov"
ADC_INSPECTOR,,"Inšpektor ADC"
SYS_LONG,,"SYS dlho"
HOME_KEYMAP,,"Nastav. tlačidiel"
POTS_SLIDERS_SETTINGS,,"Nastavenie pot/ťahových ovl."
SWITCH_MIDDLE_DETECT_DELAY,,"Oneskorenie detekcie stred. polohy"
DISP_SHORT,,"{DISP_LABEL} krátko"
DISP_LONG,,"{DISP_LABEL} dlho"
SWITCH,,"Prepínač"
THROTTLE_DEAD_BAND,,"Neutrál plynu"
ANALOGS_FILTER,,"Analógový filter"
ANALOGS_CALIBRATION,,"Kalibrácia pák"
CONFIRM_CONTINUE,,"Potvrďte pokračovanie"
THR_NOT_LOW_WARNING,,"Plyn nie je na voľnobehu"
CHANNELS_ORDER,,"Poradie kanálov"
STICKS_MODE,,"Rozloženie pák"
STICKS_MODE_1,,"Mód 1"
STICKS_MODE_2,,"Mód 2"
STICKS_MODE_3,,"Mód 3"
STICKS_MODE_4,,"Mód 4"
FIRST_FOUR_CHANNELS_FIXED,,"Prvé 4 kanály fixné"
NO_SD_CARD,,"Žiadna SD karta"
FLASH_BOOTLOADER,,"Aktualizácia bootloadera"
FLASH_INTERNAL_MODULE,,"Aktualizácia interného modulu"
PLAY,,"Prehrať"
CURRENT_VERSION,,"Aktuálna verzia"
FLASH_RECEIVER_BY_INTERNAL_MODULE_OTA,,"Aktualizácia RX cez interný modul OTA"
FLASH_RECEIVER_BY_EXTERNAL_MODULE_OTA,,"Aktualizácia RX cez extrný modul OTA"
OTA_UPDATE,,"Aktualizácia OTA"
FLASH_EXTERNAL_DEVICE,,"Aktualizácia externej jednotky"
OPEN,,"Otvoriť"
FLASH_EXTERNAL_MODULE,,"Aktualizácia externého modulu"
FLASH_EXTERNAL_MULTIMODULE,,"Aktualizácia externého multimodulu"
MOVE_HERE,,"Presunúť sem"
OTA_UPDATE_ERROR,,"Chyba aktualizácie OTA"
UNSUPPORTED_RX,,"Nepodporovaný RX"
MAIN_VOLTAGE,,"Hlavné napätie"
DISPLAY_VOLTAGE_RANGE,,"Zobrazovaný rozsah napätia"
LOW_VOLTAGE,,"Nízke napätie"
RTC_VOLTAGE,,"RTC napätie"
UNKNOWN,,"Neznámy"
FIRMWARE,,"Firmware"
VIDEO_HARDWARE_VERSION,,"Verzia video hardwéru"
RECEIVER,,"Prijímač"
NON_STABILIZED_RECEIVER,,"Prijímač bez stabilizácie"
VARIO,,"Vario"
MAIN_VOLUME,,"Hlavná hlasitosť"
AUDIO_VOLUME,,"Hlasitosť"
PITCH_AT_ZERO,,"Tón nuly"
SEQUENCE,,"Sekvencia"
PITCH_AT_MAX,,"Tón max"
REPEAT_AT_ZERO,,"Opakovať do nuly"
PLANE,,"Lietadlo"
GLIDER,,"Vetroň"
HELI,,"Vrtuľník"
MULTI,,"Multikoptéra"
CAR,,"Car"
BOAT,,"Boat"
OTHER,,"Iné"
CALIBRATION,,"Kalibrácia"
INPUTS,,"Vstupy"
UPDATE,,"Aktualizácia"
SDCARD,,"SD karta"
SDCARD_ERROR,,"Chyba SD karty"
INVALID_DATA,,"Nesprávne dáta"
FILE_BAD_FORMAT,,"Nesprávny formát súboru"
NO_FILES_ON_SD,,"Na SD karte nie sú súbory"
READ_ERROR,,"Chyba čítania"
WRITE_ERROR,,"Chyba zápisu"
WRONG_HEADER,,"Nesprávna hlavička"
WRONG_FORMAT,,"Nesprávny formát"
WRONG_CRC,,"Nespávne CRC"
WRONG_FILE_SIZE,,"Nesprávna veľkosť súboru"
WRONG_FILE,,"Nesprávny súbor"
ERROR,,"Chyba"
RUDDER,,"Smerovka"
ELEVATOR,,"Výškovka"
DELETE,,"Odstrániť"
MODEL_BITMAP,,"Obrázok modelu"
TAIL_TYPE,,"Typ chvosta"
TRADITIONAL,,"Tradičný"
VTAIL,,"V-Tail"
REVERSE,,"Reverz"
RATE,,"Rate"
UP,,"Hore"
DOWN,,"Dole"
LEFT_SHORT,,"L"
RIGHT_SHORT,,"R"
RIGHT,,"Vpravo"
LEFT,,"Vľavo"
TOP,,"Hore"
BOTTOM,,"Dole"
TIMER_UP,,"Časovač hore"
TIMER_DOWN,,"Časovač dole"
LIMIT,,"Limit"
SPEED,,"Rýchlosť"
SET_DATE,,"Nastaviť dátum"
SET_TIME,,"Nastaviť čas"
SILENT_MODE,,"Tichý mód"
KEY,,"Klávesa"
ALARM,,"Alarm"
TRIM,,"Trim"
SETUP_CHANNEL,,"Nastavenie kanálov"
LOGIC_SWITCH,,"Logický spínač"
CREATE_MODEL,,"Vytvoriť model"
SAVE,,"Uložiť"
LS,,"LS"
FS,,"FS"
OP,,"OP"
MASTER,,"Tréner - Učiteľ"
SLAVE,,"Tréner - žiak"
SUNDAY,,"Nedeľa"
MONDAY,,"Pondelok"
TUESDAY,,"Utorok"
WEDNESDAY,,"Streda"
THURSDAY,,"Štvrtok"
FRIDAY,,"Piatok"
SATURDAY,,"Sobota"
JANUARY,,"Január"
FEBRUARY,,"Február"
MARCH,,"Marec"
APRIL,,"Apríl"
MAY,,"Máj"
JUNE,,"Jún"
JULY,,"Júl"
AUGUST,,"August"
SEPTEMBER,,"September"
OCTOBER,,"Október"
NOVEMBER,,"November"
DECEMBER,,"December"
CANCEL,,"Zrušiť"
DELAY,,"Opozdenie"
RECEIVER_TYPE,,"Typ prijímača"
BACK,,"Späť"
INTERNAL,,"Interný"
EXTERNAL,,"Externý"
RF_PROTOCOL,,"RF protokol"
EXTERNAL_RF,,"Externý RF"
LOGIC_SWITCH_RANGE,,"Rozsah logického prepínača"
PLAY_SEQUENCE,,"Prehrať sekvenciu"
WAIT_DURATION,,"Doba čakania"
WAIT_CONDITION,,"Podmienka čakania"
CONFIRM_DELETE_LINE,,"Potvrďte odstránenie riadku"
ADD_A_NEW_LINE_IN_SEQUENCE,,"Pridanie nového riadku do sekvencie"
PLAY_TEXT,,"Prehrať text"
GO_TO_SCREEN,,"Choď na obrazovku"
LOCK_TOUCHSCREEN,,"Zámok dotyku"
BLANK,,"Prázdny"
CALIBRATE,,"Kalibrovať"
CLICK_CALIBRATE_TO_START,,"Stlačte Kalibrovať pre štart"
CENTER_STICKS_POTS_SLIDERS_AND_CLICK_NEXT,,"Vycentrujte páky/pot/ťahové ovl. potom stlačte Ďaľšie"
MOVE_STICKS_POTS_SLIDERS_AND_CLICK_NEXT,,"Hýbte pákami/pot/ťahovými ovl. do max potom stlačte Ďaľšie"
CALIBRATION_COMPLETE_CLICK_CONFIRM_TO_STORE,,"Kalibrácia je kompletná stalčte Potvrdiť pre uloženie do rádia"
BACKLIGHT,,"Podsvietenie"
DARK_MODE,,"Tmavý režim"
HIGHLIGHT_COLOR,,"Farba zvýraznenia"
MODEL_NAME,,"Názov"
NO_AIRBRAKES,,"Bez aerodynamických bŕzd"
SWR,,"SWR"
CURRENT,,"Prúd"
VFAS,,"VFAS"
TEMPERATURE_2,,"Teplota 2"
TEMPERATURE_1,,"Teplota 1"
FUEL,,"Palivo"
ACCX,,"AccX"
ACCY,,"AccY"
ACCZ,,"AccZ"
GPS_ALT,,"GPS Výška"
GPS_SPEED,,"GPS Rýchlosť"
GPS_COURSE,,"GPS Smer"
AIR_SPEED,,"Vzdušná rýchlosť"
BATTERY_1_VOLTAGE,,"Napätie Bat1"
BATTERY_1_CURRENT,,"Prúd Bat1"
BATTERY_2_VOLTAGE,,"Napätie Bat2"
BATTERY_2_CURRENT,,"Prúd Bat2"
RBOX_STATE_1,,"RBOX Status 1"
RBOX_STATE_2,,"RBOX Status 2"
BATTERY_1_CONSUMPTION,,"Spotreba Bat1"
BATTERY_2_CONSUMPTION,,"Spotreba Bat2"
BATTERY_1_TEMPERATURE,,"Teplota Bat1"
BATTERY_2_TEMPERATURE,,"Teplota Bat2"
SD1_CHANNEL,,"SD1 Kanál"
ESC_VOLTAGE,,"Napätie ESC"
ESC_CURRENT,,"Prúd ESC"
ESC_RPM,,"Otáčky ESC"
ESC_CONSUMPTION,,"Spotreba ESC"
ESC_TEMPERATURE,,"Teplota ESC"
RB_OUTPUT_STATE,,"Stav výstupu"
RB_CH1_A,,"Prúd CH1"
RB_CH2_A,,"Prúd CH2"
RB_CH3_A,,"Prúd CH3"
RB_CH4_A,,"Prúd CH4"
RB_CH5_A,,"Prúd CH5"
RB_CH6_A,,"Prúd CH6"
RB_CH7_A,,"Prúd CH7"
RB_CH8_A,,"Prúd CH8"
RB_CH9_A,,"Prúd CH9"
RB_OUTPUT_1_VOLTAGE,,"Napätie Výstup 1"
RB_OUTPUT_2_VOLTAGE,,"Napätie Výstup 2"
GASSUIT_TEMP1,,"Plyn Teplota 1"
GASSUIT_TEMP2,,"Plyn Teplota 2"
GASSUIT_SPEED,,"Plyn RPM"
GASSUIT_RES_VOL,,"Plyn rozl. Vol."
GASSUIT_RES_PERC,,"Plyn rozl. %"
GASSUIT_FLOW,,"Plyn prietok"
GASSUIT_MAX_FLOW,,"Plyn max prietok"
GASSUIT_AVG_FLOW,,"Plyn priem prietok"
BEC_VOLTAGE,,"Napätie BEC"
BEC_CURRENT,,"Prúd BEC"
POWER_900M,,"Výkon 900M"
OK,,"OK"
FLAP,,"Klapka"
AIRBRAKE,,"Aerodynamická brzda"
FILE,,"Súbor"
FLASH_SPORT,,"Aktualizácia S.port"
PLAY_VALUE,,"Prehrávanie hodnota"
CATEGORY,,"Kategória"
MEMBER,,"Položka"
ANALOGS,,"Analógy"
SWITCHES_POSITIONS,,"Pozície prepínačov"
TRIMS_POSITIONS,,"Pozície trimov"
