String name, String context, X20(...) / XE(S) / V20, X18RS / X14(...) / T14 / V15, All other radios
OFFSET_WHEN_INACTIVE,,"Pasifken ofset"
SMOOTH,,"Yumuşak"
POINT,,"Nokta"
POINTS_COUNT,,"Nokta sayısı"
EASY_MODE,,"Kolay mod"
LOGIC_SWITCHES,,"Mantık anahtarları"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_LOGIC_SWITCH,,"Bu mantık anahtarını silmek istediğinizden emin misiniz?"
NO_LOGIC_SWITCH_HINT,,"Henüz mantık anahtarı yok. Oluşturmak için ekle düğmesine basın!"
START_CONDITION,,"Başlama koşulu"
STOP_CONDITION,,"Durdurma koşulu"
TIMER_EDIT,,"Zamanlayıcı düzenle"
PERSISTENT,,"Kalıcı"
START_VALUE,,"Başlangıç değeri","Başla"
AUDIO_ACTIONS,,"Ses eylemleri"
AUDIO_ACTION,,"Ses eylemi"
ADD_A_NEW_AUDIO_ACTION,,"Yeni bir ses eylemi ekle"
ALARM_VALUE,,"Alarm değeri","Alarm"
HAPTIC,,"Titreşim"
COUNT_SECONDS,,"Count seconds",
COUNTDOWN,,"Geri sayım"
BEEP_COUNTDOWN,,"Bip geri sayımı"
START,,"Başla"
PLAY_FILE,,"Dosya oynat"
SPACE_WITH_OTHERS,," diğer yerler"
CONFIRM_DELETE_CURVE,,"Bu eğriyi silmek istediğinizden emin misiniz?"
CURVE_USED_BY,,"Bu eğri şu tarafından kullanılıyor:"
AND_WITH_TWO_SPACES,," ve "
CURVES,,"Eğriler"
NO_CURVE_HINT,,"Henüz eğri yok. Oluşturmak için ekle düğmesine basın!"
VARS,,"Değişkenler"
NO_VAR_HINT,,"Henüz değişken yok. Oluşturmak için ekle düğmesine basın!"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_VAR,,"Bu değişkeni silmek istediğinizden emin misiniz?"
CONFIRM_RESET_MIXES,,"Bu işlem tüm mixleri resetleyecek.\nDevam etmek istediğinizden emin misiniz?"
ELEVATORS,,"Elevatörler"
YAW,,"Yaw"
SWASH_PLATE,,"Swash plate"
EDIT_MODEL,,"Modeli düzenle"
PICTURE,,"Resim"
TAIL,,"Kuyruk"
AILERONS,,"Aileronlar"
PITCH,,"Pitch"
THROTTLE,,"Gaz"
FLAPS,,"Flaplar"
ENGINE,,"Motor"
RUDDERS,,"Rudderlar"
ROLL,,"Roll"
FUNCTION_SWITCHES,,"Fonksiyon switchleri"
RESET_ALL_MIXES,,"Tüm mixleri resetle"
CREATE_CALCULATED_SENSOR,,"Hesaplanmış sensör oluştur"
CONFIRM_DELETE_SENSORS,,"Tüm sensörler kaldırılacak.\nDevam etmek istediğinizden emin misiniz?"
ON,,"AÇIK"
OFF,,"KAPALI"
DISCOVER_NEW_SENSORS,,"Yeni sensörleri bul"
DELETE_ALL,,"Tümünü sil"
INDIVIDUAL_RSSI_ALERT_PER_BAND,,"Her frekans için ayrı RSSI uyarısı"
CREATE_DIY_SENSOR,,"Kendi sensörünü oluştur"
CONFIRM_LOAD_ALL_SWITCH_POSITIONS,,"Bu işlem tüm switch kontrol pozisyonlarını geçerli pozisyonlarla değiştirecek. Devam etmek istediğinizden emin misiniz?"
CHECK_FUNCTION,,"Fonksiyonu kontrol et"
LOAD_ALL_SWITCH_POSITIONS,,"Tüm switch pozisyonlarını yükle"
CONFIRM_LOAD_ALL_POT_POSITIONS,,"Bu işlem tüm pot kontrol pozisyonlarını geçerli pozisyonlarla değiştirecek. Devam etmek istediğinizden emin misiniz?"
LOAD_ALL_POT_POSITIONS,,"Tüm pot pozisyonlarını yükle"
CALIBRATION_FINISH,,"Kalibrasyon tamamlandı!"
SXR_CALIBRATION,,"SxR kalibrasyonu"
CLICK_WHEN_DONE,,"Tamamlandığında tıklayın"
CALIBRATING,,"Kalibre ediliyor ..."
SXR_CALIBRATION_DESCRIPTION,,"SxR Gyro ve Akselerometre kalibrasyonu"
SLAVE_CH,,"Slave CH"
PERCENT,,"Yüzde"
DESTINATION,,"Hedef"
ENABLE,,"Etkinleştir"
NO_FUNCTION_HINT,,"Henüz fonksiyon yok. Oluşturmak için ekle düğmesine basın!"
SPECIAL_FUNCTIONS,,"Özel fonksiyonlar","Özel fonks."
SF,,"SF"
DISABLE,,"Devre dışı bırak"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_SPECIAL_FUNCTION,,"Bu özel fonksiyonu silmek istediğinizden emin misiniz?"
REGISTRATION_OK,,"Kayıt tamam"
UID,,"UID"
REGISTRATION_ID,,"Kayıt ID'si"
RX_NAME,,"RX adı"
RECEIVER_CONNECTED,,"Alıcı bağlı"
REGISTRATION,,"Kayıt"
TRIMS,,"Trimler"
FADE_IN,,"Yavaşça devreye gir"
FADE_OUT,,"Yavaşça devreden çık"
AUTO_DETECT,,"Otomatik algıla"
DISPLAY_DECIMALS_AND_UNIT,,"Ondalık / birim göster"
SELECT_SENSOR,,"Sensör seç"
DIY_SENSOR,,"DIY sensörü"
WAITING,,"Bekleniyor"
BAND,,"Bant"
RATIO,,"Oran"
MODULE,,"Modül"
PROTOCOL_DECIMALS_AND_UNIT,,"Protokol ondalık / birim"
CROSS_TRIM,,"Çapraz trim"
MOVE_TRIM_TO_SUBTRIM,,"Trimi sub trime taşı"
INSTANT_TRIM,,"Anlık trim"
CONFIRM_MOVE_TRIM_TO_SUBTRIM,,"Trim sub trime taşınsın mı?"
MOVE_TRIMS_TO_SUBTRIMS,,"Trimleri sub trime taşı"
CONFIRM_MOVE_TRIMS_TO_SUBTRIMS,,"Trimleri sub trime taşımayı onaylıyor musunuz?"
INDEPENDENT_PER_FLIGHT_MODE,,"Her uçuş modu için bağımsız"
STICK,,"Stick"
CONFIGURE_SCREENS,,"Ekranları yapılandır"
TOP_SCREEN,,"Üst ekran"
CHANGE_LAYOUT,,"Yerleşimi değiştir"
FULL_SCREEN,,"Tam ekran"
WIDGET,,"Widget"
SET_MAIN_SCREEN,,"Ana ekran olarak ayarla"
CONFIGURE_WIDGET,,"Widget yapılandır"
NEW_SCREEN,,"Yeni ekran"
SCREEN,,"Ekran"
CHANGE_WIDGET,,"Widget değiştir","Değiştir"
MOVE_FORWARD,,"← İleri taşı"
MOVE_BACKWARD,,"→ Geri taşı"
RESET_FLIGHT,,"Uçuşu resetle"
RESET_TIMERS,,"Timerı resetle"
RESET_TELEMETRY,,"Telemetriyi resetle"
HOME,,"Ana sayfa"
ADD_AFTER,,"Arkasına ekle"
ADD_MIX_FAILED,,"Mix eklenemedi!"
MAX_MIXES_REACHED,,"Maksimum mix sayısına ulaşıldı!"
FIRST_POSITION,,"İlk pozisyon"
MIXES_LIBRARY,,"Mix kütüphanesi"
LOCAL_ADDRESS,,"Yerel adres"
WAITING_FOR_DEVICES,,"Cihazlar bekleniyor ..."
LOCAL_NAME,,"Yerel ad"
SEARCH_DEVICES,,"Ara ..."
BLUETOOTH_DEVICE_CONNECTED,,"Bluetooth cihazı bağlandı"
CONFIRM_ALLOW_CONNECTION,,"Allow connection?"
BLUETOOTH_FIRMWARE_NEEDS_UPDATE,,"Bluetooth firmware needs to be updated!"
