Clef, Contexte, X20(...) / XE(S) / V20, X14(...) / T14 / V15, Autres radios,
FACTORY_RESET,,"RAZ usine",
TELEMETRY_PORT,,"Port Télém.",
WARNING,,"Alerte",
ERRORS,,"Erreurs",
OPTIONS,,"Options",
CONFIGURE,,"Configurer",
WAITING_FOR_RECEIVER,,"En attente récepteur ...",
PIN,,"Pin",
RX_SETTINGS,,"Paramètres RX",
NO_RESPONSE_FROM_RECEIVER,,"Pas de réponse récepteur",
SBUS_OUT,,"SBUS Out",
SBUS_IN,,"SBUS In",
TELEMETRY_25_MW,,"Puissance télémétrie réduite (25mW)",
HIGH_PWM_SPEED,,"Haute vitesse PWM",
FLIGHT_DATA_RECORDER,,"Enreg. données vol",
RX_HAS_NO_FLIGHT_DATA_RECORD,,"RX sans enreg. données vol !",
ANTENNA,,"Antenne",
POWER_HAS_BEEN_CHANGED_PLEASE_REBIND,,"Changement de puissance, appairage nécessaire !",
NO_RESPONSE_FROM_MODULE,,"Aucune réponse module !",
POWER,,"Puissance",
BAUDRATE,,"Vitesse",
ARMING_CONDITION,,"Condition armement",
WAITING_FOR_MODULE,,"En attente module ...",
TX_SETTINGS,,"Paramètres TX",
NO_CHECK,,"Inactif",
CUSTOM,,"Perso",
HOLD,,"Maintien",
NO_PULSES,,"Aucun signal",
NOT_SET,,"Non défini",
CREATE_CALCULATED_SENSOR,,"Capteur calculé",
CONFIRM_DELETE_SENSORS,,"Supprimer capteurs ?",
ON,,"ON",
OFF,,"OFF",
DISCOVER_NEW_SENSORS,,"Découverte capteurs",
STOP_DISCOVER,,"Stop discovery"
DELETE_ALL,,"Tout effacer",
INDIVIDUAL_RSSI_ALERT_PER_BAND,,"Alertes RSSI par bande",
CREATE_DIY_SENSOR,,"Capteur perso",
FORMULA,,"Formule",
CALCULATED_SENSOR,,"Capteur calculé",
AUTO_DETECT,,"Détect. auto",
DISPLAY_DECIMALS_AND_UNIT,,"Précision / unité affichage",
SELECT_SENSOR,,"Choisir capteur",
DIY_SENSOR,,"Capteur DIY",
WAITING,,"En attente",
RATIO,,"Ratio",
MODULE,,"Module",
PROTOCOL_DECIMALS_AND_UNIT,,"Précision / unité protocole",
NAME,,"Nom",
DECIMALS,,"Décimales",
VALUE,,"Valeur",
